# Out flavours, measured and UNROUNDED. No die mechanic is chosen yet, so
# nothing here is quantized; analysis/dice/out_quantize.py has what a
# d6/d10/d12/d20 table would cost in runs.
# Family comes from the feed's label (fielder's choice, double play); only
# the + is inferred from the base-out change.
# With nobody on 1st, F and FB act as B, so only the + matters there.
# F and FB share one + rate, pooled: an F is a double-play attempt whose
# relay did not get the batter, so the runners behave the same on both.
# That rate still rests on 13 plays -- see plus visible on.
runner on 1st,family,family share,plays,plus rate,plus visible on,flavor share,flavor+ share
False,B,0.9646,109,0.55,100,0.43407,0.53053
False,F,0.00885,1,,0,,
False,FB,0.02655,3,,0,,
True,B,0.62829,191,0.26901,171,0.45928,0.16901
True,F,0.19408,59,0.78571,14,0.04159,0.15249
True,FB,0.17763,54,0.78571,14,0.03806,0.13957
